,yt_title,comment
54,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Oh shit it's Gandalf the Gravy
55,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The flow is just straight nasty. Good job guys!
56,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The beat and everything is perfect
57,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The guy with the pink hat and glasses looks and act and sounds just my youngest son. Great music uplifting pulled me right up outa my funk i wanna dance instead of cry thanks guys ❤️😀
58,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I can't stop listening to this song....its on fire. ...💥💥💥💥💗💗💗 love it....
59,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"We need more of YOU and Rich Brain !
Seriously 🙌🥺"
60,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"this beat is impeccable, the producer is really carrying this one"
61,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Great song guys cant stop playin it good lads
62,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Addictive! They took rap music to a whole new level!
63,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Hiphop going to the right way again,after a 30 year break."
64,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This has got to be one of the most rhythmically satisfying songs I've ever heard
65,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I really like listening to this song even though I can't sing it. I've been playing this song over and over for the past 3 days😂
66,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I was never a Rap person but this is just phenomenal .Thank you 🙏🏻 for making this , massive respect."
67,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This is freaking fire not gonna lie i love yall
68,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Banging! Rocking Melb Australia with this beast drop😲💨💯✌
69,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this one of the most underrated songs
70,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The video makes this song 10x better. need more collabs between bbno$ and rich brian
71,bbno$ & Rich Brian - edamame (Official Video) - YouTube,These lyrics kill me every time 😂😂😂
72,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Omg this is another level! FIRE
73,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Honestly it's hard to listen to the lyrics without subtitles, but the rhythm is so, soooo addicting. The flow is stupidly good."
74,bbno$ & Rich Brian - edamame (Official Video) - YouTube,flow in this is just next level
75,bbno$ & Rich Brian - edamame (Official Video) - YouTube,LOVE YOUR MUSIC DUDE YOU ROCK
76,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Love the song more every day!
77,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"BB ""no money"" is hanging out with a ""Rich"" Brian

perfect balance, as it should be"
78,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I have run a half marathon with this song today! broke my record! thx guys!
79,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I'm so happy I watched the music video, it's just so good, so silly and insane, but funny"
80,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Absolute fire , the flow is 🔥"
81,bbno$ & Rich Brian - edamame (Official Video) - YouTube,bbno$ deserves to be among the best of the best after this
82,bbno$ & Rich Brian - edamame (Official Video) - YouTube,when does edamame come out?
83,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"damn, play random music on spotify and I found this song lol can't get enough of this"
84,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I know im late, but i just discovered this and ive been listening to this for the last 30 mins, its on repeat."
85,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I love listening to songs like this :)
86,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this track is sick as... still loving it hard
87,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Great song to put on during whoopee. !!! 🙌
88,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Everything about this song is the best I want music with this type of beat
89,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Rich Brian’s flow and delivery in the first verse is impeccable. That shit bangs hard
90,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Well, it’s definitely the most entertaining documentary on the 100 Years War I’ve ever seen but I am concerned there are a couple historical inaccuracies…"
91,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this on the radio this morning. Can't stop listening to it 🤣
92,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"No joke the ""cling clang"" holds everything in this song together."
93,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Damn I almost thought them lightning effects were real
fucking amazing song btw"
94,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"This song is way too short, amazing beat & rap 👌"
95,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this tune this morning and WOWZERS!!!! love!!! big fan of BBnomula
96,bbno$ & Rich Brian - edamame (Official Video) - YouTube,That feeling when the favorite part of the song is the beginning.
97,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this is so out of my normal circle of music but i CAN NOT stop listening. You guys are golden
98,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I threw a house party and this came on... the whole party started JUMPING!!🔥
99,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this on the radio today and instantly knew Rich Brian is in it. Love him with Jackson Wang on Titanic.
100,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this banger on the radio twice and  not once did they tell us what the name of the song was. Glad I found it though. 😂
101,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Ok this must have been one of the best songs I’ve listened to this month !!!
102,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The fact that Bbno$ has no money and rich Brian is rich lmao
103,bbno$ & Rich Brian - edamame (Official Video) - YouTube,You guys make a huge fire on ice🔥
104,bbno$ & Rich Brian - edamame (Official Video) - YouTube,That's perhaps the greatest thing i've seen in a while🤣
105,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This dude never miss it feels like he can’t make a bad song at all
106,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I spent 3 hours listening to this on repeat from 10pm to 1am and when I looked  at the clock I was like wtf but this song felt like it was only 4 minutes lol
107,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Big beats and bouncing round me living room first thing!!.. 👌🏼🙌🏼
108,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Definitely giving me new school chicago house vibes!!
109,bbno$ & Rich Brian - edamame (Official Video) - YouTube,gravy for literally no reason at the end hahahahahah
110,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I like your song very much It's circling in my head all the time.
111,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I absolutely love Yung Gravy's appearance for no reason lol
112,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Amazing love it 💃🏻💃🏻… hot as oot double fire 🔥🔥🔥
113,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"When they said “Woah!” 
I felt that, and found out this track!"
114,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"0% Nudity
0% Money
0% Drugs 
100% Cling clang"
115,bbno$ & Rich Brian - edamame (Official Video) - YouTube,That beat hits the deepest layers of the party
116,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The cling clang is like the whole support of the song! Its insane!!!
117,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"you guys make me laugh, this song is so good"
118,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Let's just be honest, we love the ""Cling Clang"" part"
119,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The cutest music video I have seen before <3
120,bbno$ & Rich Brian - edamame (Official Video) - YouTube,i really liked the character development in this. (idk I haven’t seen it)
121,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"i love the ""kleng kleng and the keselek""
😟🙏🏼"
122,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Wooooooooooow best song of the year....since 1990 till 2050 😀
123,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Bbno and gravy always getting the best beats in swear this shit so hard
124,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Not a fan of this type of music but this is 🥵🥵🔥🔥, get the 👨‍🚒🧯"
125,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Something about this song makes me able to listen to it nonstop for the past week without getting sick of it, songs rarely have the ability to do that. Good job, man!"
126,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Day 3 of hearinh this masterpiece. Now i can sing alonge with it
127,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This is the best song ever!!
128,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Im sorry, but BBNO$ literally never misses. Another BANGER!"
129,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Love his expression at 45 second mark.  It makes me giggle
130,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"0% Drugs, Cars or Girls
80% Crusades
15% Dogs
4% Cereal"
131,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"This is an awesome fun song, the beat is sic and you two are popping with the raps. ✊🏻💚💙🙏✌️💚💙🙏✌️✝️✝️❤️‍🔥✊🏻"
132,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I bet bbno$ wont be that impressed that i came here from a reel from Instagram (cuz he once mentioned on a lyric that he be pissed if his song hit it on tiktok) but im glad i did. This guy is truly unique and impressive!
133,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I've never heard anything like this. This is fucking great.
134,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"That armor is amazing, and looks like it’s fitted alright. Why do I feel like this is a song poking fun at the notion of wanting more moneys while simultaneously making you want more moneys?"
135,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this on a Hawaii station today I was soooo happy!
136,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I can't get over how brian drops into his flow on his first verse
137,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I wish his songs were longer bc they are dope af
138,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Wtf, OMG SO SO GOOD, CAN’T STOP DANCING FREESTYLING BEING WITH MY BOO, GIVE US MORE.  LET’S KILL THIS PANDEMIC."
139,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Just think about how underrated these guys are.
140,bbno$ & Rich Brian - edamame (Official Video) - YouTube,No justifying listening on repeat!
141,bbno$ & Rich Brian - edamame (Official Video) - YouTube,damn bro this so fire man keep it up dude!
142,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"The ""talk talk talk talk"" and ""tap tap tap tap"" are honestly the best parts imo"
143,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Damn I would have loved to go to the concert on the 12 :/ guess Ill just listen to this at work]
144,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Two friends having a time of their life. Yes, we wanna see this type of energy."
145,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Where are the grammy's when you need them!!!! AWESOME beat dudes... Congrats from Argentina
146,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Congrats on going Platinum in Canada with this song
147,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"“Hey so how big is our budget for the music video?”
“2000”
“Sounds good man…       
… oh my god, suits of armour are on sale for $995 each this weekend!”"
148,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"This man never takes off his beanie, it's apart of his body now."
149,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Literally listen to bbno$ every day to get my blood pumping
150,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Everyone talking about cling clang. Fire. but this whole song goes hard I'm metal guy but damn well done
151,bbno$ & Rich Brian - edamame (Official Video) - YouTube,absolutly impossible listening at this without moving any part of your body
152,bbno$ & Rich Brian - edamame (Official Video) - YouTube,That saxo takes this song to another level!
153,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I came here because people recognized this dude from the new Cannel 5 vid. Figured I'd give him a quick listen and this is probably the best song I could have picked. Dis shit slaps. Hard.
154,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"this song blew me out so much, right when i heard it in a video, i had to use one app that tells you what song that is and its my favorite now"
155,bbno$ & Rich Brian - edamame (Official Video) - YouTube,i just heard this come on the mainstream radio lol <3
156,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"i ain’t never heard of ya’ll before, but i am highly entertained. them flows hit."
157,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Just heard this on XM2!!!! Getting out there!!!
158,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This is the type of song u play when u want to feel like a badass or a playboy.
159,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This song is underrated but totally masterpiece
160,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"What a nasty appearance from Gravy, overall great music video, funny how I’ve been playing this song for so long, but never watched the video, loved it"
161,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"two incredible artists actually having fun with music, finally."
162,bbno$ & Rich Brian - edamame (Official Video) - YouTube,We need more music in medieval armor
163,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Man, this song is Addictive  =D"
164,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"You can tell, they had a lot of fun recording this video. Hence why it's so good."
165,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I watch this music video everytime it comes in my recommendations
166,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"When Elden Ring is released, someone should mod this Dope Song into the Dragon Fight theme"
167,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Now that is one great F't up jam and video!, love at
first listen,the world stops when I hear this jam."
168,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"""KLENG KLENG AND A KESELEK"" is my fav part LMAO"
169,bbno$ & Rich Brian - edamame (Official Video) - YouTube,My best music for my life too.
170,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I can't stop listening to this song, it's so good, it's literally fire."
171,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"The cling clang carries this whole song, amazing!"
172,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Day 1 of listening to edamame for a whole year
173,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Brians flow is on another level holy
174,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Help I am addicted to this song !!!!!!!!!!!
175,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I almost killed myself dancing to this in the kitchen this morning. Thanks. Fire track. 🔥
176,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This might be the most lit song I ever heard. Like put you in a mood in basically any situation. Otw to work - otw home from work - at work - at home - cooking dinner - doing chores - sleeping. Its honestly great with everything.
177,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Yung Gravy cameo really took this video to another level.
178,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this song is exploding on romanian radios :)) nice work guys
179,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Is it just me, or do those 2 really vibe hard with each other?"
180,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"No sexualised girls, no fancy cars, no show of money. Just two bros (and a wizard) enjoying time together with top notch fashion

Edit: YES I am only talking about the music video..I ain't deaf man ;-; "
181,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Heard this on a tv commercial and I ain’t mad. Lol I love this!
182,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Wow 👌 I love you so much I watch you in lalala days you are amazing wite for more good songs  🎵 ❤
183,bbno$ & Rich Brian - edamame (Official Video) - YouTube,glad this is played on the radio
184,bbno$ & Rich Brian - edamame (Official Video) - YouTube,We needed something to sound like this and give us that vibe
185,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Rich bb need to make an album
186,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Finally a great beat. Different than the same crap that comes out.
187,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Everyone knows that this is going to be a banger 🤩
188,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I think I'm in love with this song
189,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This deserves a billion views.
190,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this is my favorite song
191,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Brians ""what the fuck"" at 1:48 made me laugh so fucking hard for some reason"
192,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This song is my addiction
193,bbno$ & Rich Brian - edamame (Official Video) - YouTube,1:48 makes this video even more legendary 😂
194,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I need a 1 hour loop of just cling clang
195,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Anyone else notice how all these really awesome songs are often the shortest??? This baby shy of 2:30 lol
196,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Actually amazed by how hard this goes
197,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I am a spanish speaker, and i speak english too,  this song flows so smooth i thought it would be really easy to learn these lyrics, so i went ahead and tried to spit these bars and damn I think I created a whole new language..."
198,bbno$ & Rich Brian - edamame (Official Video) - YouTube,These time traveling knights knew how to party
199,bbno$ & Rich Brian - edamame (Official Video) - YouTube,the clean version on the radio sounded so convincing...
200,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"That's ""Cling Clang"" so fcking satisfying😩"
201,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"""Never ever fold for a thottie that's an oath.""

Amen 🙏"
